date,region,boss_id,boss_name,difficulty,participants,attempts,clears
2024-06-26,KR,BOSS001,Celestial Wyrm,NORMAL,8744,11868,6903
2024-06-26,KR,BOSS001,Celestial Wyrm,HARD,4427,7655,2216
2024-06-26,KR,BOSS001,Celestial Wyrm,NIGHTMARE,1957,3530,455
2024-06-26,JP,BOSS001,Celestial Wyrm,NORMAL,8018,10849,6294
2024-06-26,JP,BOSS001,Celestial Wyrm,HARD,3855,6560,1770
2024-06-26,JP,BOSS001,Celestial Wyrm,NIGHTMARE,1601,2862,307
2024-06-26,GLOBAL_WEST,BOSS001,Celestial Wyrm,NORMAL,14859,21325,11608
2024-06-26,GLOBAL_WEST,BOSS001,Celestial Wyrm,HARD,7347,12503,3521
2024-06-26,GLOBAL_WEST,BOSS001,Celestial Wyrm,NIGHTMARE,3299,5720,782
2024-06-27,KR,BOSS001,Celestial Wyrm,NORMAL,9309,12111,7090
2024-06-27,KR,BOSS001,Celestial Wyrm,HARD,4581,8177,2170
2024-06-27,KR,BOSS001,Celestial Wyrm,NIGHTMARE,1715,3045,375
2024-06-27,JP,BOSS001,Celestial Wyrm,NORMAL,8109,10651,6315
2024-06-27,JP,BOSS001,Celestial Wyrm,HARD,3991,6673,1788
2024-06-27,JP,BOSS001,Celestial Wyrm,NIGHTMARE,1611,2663,272
2024-06-27,GLOBAL_WEST,BOSS001,Celestial Wyrm,NORMAL,15271,21230,11637
2024-06-27,GLOBAL_WEST,BOSS001,Celestial Wyrm,HARD,7238,12426,3595
2024-06-27,GLOBAL_WEST,BOSS001,Celestial Wyrm,NIGHTMARE,2846,5029,529
2024-06-28,KR,BOSS001,Celestial Wyrm,NORMAL,9282,12285,6973
2024-06-28,KR,BOSS001,Celestial Wyrm,HARD,4618,7991,2203
2024-06-28,KR,BOSS001,Celestial Wyrm,NIGHTMARE,2057,3389,426
2024-06-28,JP,BOSS001,Celestial Wyrm,NORMAL,7744,10565,6096
2024-06-28,JP,BOSS001,Celestial Wyrm,HARD,3847,6941,1882
2024-06-28,JP,BOSS001,Celestial Wyrm,NIGHTMARE,1719,3126,341
2024-06-28,GLOBAL_WEST,BOSS001,Celestial Wyrm,NORMAL,15567,20571,11886
2024-06-28,GLOBAL_WEST,BOSS001,Celestial Wyrm,HARD,7496,13485,3558
2024-06-28,GLOBAL_WEST,BOSS001,Celestial Wyrm,NIGHTMARE,3166,5457,634
2024-06-29,KR,BOSS001,Celestial Wyrm,NORMAL,9299,12533,7272
2024-06-29,KR,BOSS001,Celestial Wyrm,HARD,4847,8615,2172
2024-06-29,KR,BOSS001,Celestial Wyrm,NIGHTMARE,1981,3348,414
2024-06-29,JP,BOSS001,Celestial Wyrm,NORMAL,7878,11234,6216
2024-06-29,JP,BOSS001,Celestial Wyrm,HARD,3960,7019,1748
2024-06-29,JP,BOSS001,Celestial Wyrm,NIGHTMARE,1720,2996,282
2024-06-29,GLOBAL_WEST,BOSS001,Celestial Wyrm,NORMAL,15589,20920,11719
2024-06-29,GLOBAL_WEST,BOSS001,Celestial Wyrm,HARD,7699,13388,3691
2024-06-29,GLOBAL_WEST,BOSS001,Celestial Wyrm,NIGHTMARE,2823,4741,547
2024-06-30,KR,BOSS001,Celestial Wyrm,NORMAL,9419,12778,7462
2024-06-30,KR,BOSS001,Celestial Wyrm,HARD,4586,7896,1994
2024-06-30,KR,BOSS001,Celestial Wyrm,NIGHTMARE,1899,3270,389
2024-06-30,JP,BOSS001,Celestial Wyrm,NORMAL,7751,10295,5730
2024-06-30,JP,BOSS001,Celestial Wyrm,HARD,3795,6487,1673
2024-06-30,JP,BOSS001,Celestial Wyrm,NIGHTMARE,1562,2688,269
2024-06-30,GLOBAL_WEST,BOSS001,Celestial Wyrm,NORMAL,15802,20464,11793
2024-06-30,GLOBAL_WEST,BOSS001,Celestial Wyrm,HARD,8200,13817,3887
2024-06-30,GLOBAL_WEST,BOSS001,Celestial Wyrm,NIGHTMARE,3290,5998,692
2024-07-01,KR,BOSS001,Celestial Wyrm,NORMAL,9476,12801,7602
2024-07-01,KR,BOSS001,Celestial Wyrm,HARD,4454,7986,2179
2024-07-01,KR,BOSS001,Celestial Wyrm,NIGHTMARE,1932,3388,397
2024-07-01,JP,BOSS001,Celestial Wyrm,NORMAL,8122,10764,6454
2024-07-01,JP,BOSS001,Celestial Wyrm,HARD,4114,7345,2114
2024-07-01,JP,BOSS001,Celestial Wyrm,NIGHTMARE,1958,3341,382
2024-07-01,GLOBAL_WEST,BOSS001,Celestial Wyrm,NORMAL,16090,21295,12897
2024-07-01,GLOBAL_WEST,BOSS001,Celestial Wyrm,HARD,7689,13404,3489
2024-07-01,GLOBAL_WEST,BOSS001,Celestial Wyrm,NIGHTMARE,3685,6410,739
2024-07-02,KR,BOSS001,Celestial Wyrm,NORMAL,9304,12034,7325
2024-07-02,KR,BOSS001,Celestial Wyrm,HARD,4752,8277,2256
2024-07-02,KR,BOSS001,Celestial Wyrm,NIGHTMARE,1833,3152,357
2024-07-02,JP,BOSS001,Celestial Wyrm,NORMAL,8278,11078,6660
2024-07-02,JP,BOSS001,Celestial Wyrm,HARD,3891,6849,1797
2024-07-02,JP,BOSS001,Celestial Wyrm,NIGHTMARE,1781,3129,352
2024-07-02,GLOBAL_WEST,BOSS001,Celestial Wyrm,NORMAL,15551,20745,12141
2024-07-02,GLOBAL_WEST,BOSS001,Celestial Wyrm,HARD,7933,13843,3525
2024-07-02,GLOBAL_WEST,BOSS001,Celestial Wyrm,NIGHTMARE,3096,5567,799
2024-07-03,KR,BOSS001,Celestial Wyrm,NORMAL,9488,12766,7493
2024-07-03,KR,BOSS001,Celestial Wyrm,HARD,4766,8390,2213
2024-07-03,KR,BOSS001,Celestial Wyrm,NIGHTMARE,2051,3532,438
2024-07-03,JP,BOSS001,Celestial Wyrm,NORMAL,8220,11380,6221
2024-07-03,JP,BOSS001,Celestial Wyrm,HARD,3869,6580,1676
2024-07-03,JP,BOSS001,Celestial Wyrm,NIGHTMARE,1528,2637,172
2024-07-03,GLOBAL_WEST,BOSS001,Celestial Wyrm,NORMAL,16661,22359,12821
2024-07-03,GLOBAL_WEST,BOSS001,Celestial Wyrm,HARD,7940,14201,3281
2024-07-03,GLOBAL_WEST,BOSS001,Celestial Wyrm,NIGHTMARE,3439,6034,575
2024-07-04,KR,BOSS001,Celestial Wyrm,NORMAL,9533,13120,7248
