date,region,dau,nru,returned_users,user_outflow,event_names,event_types,service_availability,pu,revenue
2024-01-01,KR,38948,1892,375,702,Global Launch,launch,1.0,1426,15639.81
2024-01-01,JP,31386,1057,231,507,Global Launch,launch,1.0,1081,11835.61
2024-01-01,GLOBAL_WEST,65149,4192,485,1274,Global Launch,launch,1.0,2236,23832.73
2024-01-02,KR,40513,1902,376,693,Global Launch,launch,1.0,1427,15117.42
2024-01-02,JP,32156,1093,279,579,Global Launch,launch,1.0,1112,11724.6
2024-01-02,GLOBAL_WEST,68305,4118,514,1199,Global Launch,launch,1.0,2300,24883.22
2024-01-03,KR,42122,1884,366,770,Global Launch,launch,1.0,1406,13164.7
2024-01-03,JP,32947,1108,285,648,Global Launch,launch,1.0,1167,12659.18
2024-01-03,GLOBAL_WEST,71542,4109,481,1386,Global Launch,launch,1.0,2587,30774.17
2024-01-04,KR,43577,1971,391,752,Global Launch,launch,1.0,1498,15728.84
2024-01-04,JP,33831,1130,315,513,Global Launch,launch,1.0,1225,15563.16
2024-01-04,GLOBAL_WEST,75006,4075,498,1391,Global Launch,launch,1.0,2516,18604.48
2024-01-05,KR,45140,1893,437,801,Global Launch,launch,1.0,1580,17478.82
2024-01-05,JP,34383,1022,269,575,Global Launch,launch,1.0,1206,14134.58
2024-01-05,GLOBAL_WEST,78092,4015,549,1526,Global Launch,launch,1.0,2772,28174.17
2024-01-06,KR,46340,1917,420,939,Global Launch,launch,1.0,1652,16391.63
2024-01-06,JP,35138,1020,284,550,Global Launch,launch,1.0,1261,14905.63
2024-01-06,GLOBAL_WEST,80991,3954,531,1560,Global Launch,launch,1.0,2916,29759.45
2024-01-07,KR,47635,1952,416,921,Global Launch,launch,1.0,1674,18545.35
2024-01-07,JP,35817,1020,320,620,Global Launch,launch,1.0,1261,14348.63
2024-01-07,GLOBAL_WEST,83986,3974,556,1351,Global Launch,launch,1.0,3024,28994.92
2024-01-08,KR,49134,1914,429,941,Global Launch,launch,1.0,1676,18796.31
2024-01-08,JP,36568,1080,271,602,Global Launch,launch,1.0,1272,14188.49
2024-01-08,GLOBAL_WEST,86796,3939,587,1817,Global Launch,launch,1.0,3009,30621.23
2024-01-09,KR,50503,1953,400,1026,Global Launch,launch,1.0,1717,19085.83
2024-01-09,JP,37335,1085,270,657,Global Launch,launch,1.0,1309,15800.33
2024-01-09,GLOBAL_WEST,89714,3905,538,1616,Global Launch,launch,1.0,3144,29645.62
2024-01-10,KR,52119,2014,428,913,Global Launch,launch,1.0,1854,23558.9
2024-01-10,JP,38017,1001,294,643,Global Launch,launch,1.0,1356,14782.51
2024-01-10,GLOBAL_WEST,92402,3847,599,1729,Global Launch,launch,1.0,3146,30763.63
2024-01-11,KR,53619,2024,431,1019,Global Launch,launch,1.0,1846,19976.61
2024-01-11,JP,38649,988,248,657,Global Launch,launch,1.0,1366,16432.91
2024-01-11,GLOBAL_WEST,94999,3853,623,1886,Global Launch,launch,1.0,3255,37629.04
2024-01-12,KR,55108,1957,495,1011,Global Launch,launch,1.0,1963,19841.05
2024-01-12,JP,39607,1057,382,605,Global Launch,launch,1.0,1352,14882.67
2024-01-12,GLOBAL_WEST,97511,3846,624,1801,Global Launch,launch,1.0,3516,34718.7
2024-01-13,KR,56562,1993,501,1098,Global Launch,launch,1.0,1980,20213.7
2024-01-13,JP,40239,1068,304,698,Global Launch,launch,1.0,1413,18444.83
2024-01-13,GLOBAL_WEST,100032,3806,611,2103,Global Launch,launch,1.0,3593,30228.42
2024-01-14,KR,57947,1977,482,1083,Global Launch,launch,1.0,1980,19447.93
2024-01-14,JP,40875,1000,307,690,Global Launch,launch,1.0,1449,15310.62
2024-01-14,GLOBAL_WEST,102571,3809,617,1987,Global Launch,launch,1.0,3543,41556.64
2024-01-15,KR,59233,1989,463,1153,Global Launch,launch,1.0,2159,23566.8
2024-01-15,JP,41432,1063,329,753,Global Launch,launch,1.0,1434,12886.38
2024-01-15,GLOBAL_WEST,105135,3767,586,1971,Global Launch,launch,1.0,3762,33592.21
2024-01-16,KR,60457,1983,462,1208,Global Launch,launch,1.0,2105,25831.13
2024-01-16,JP,42164,1068,355,691,Global Launch,launch,1.0,1513,18336.49
2024-01-16,GLOBAL_WEST,106989,3744,572,2127,Global Launch,launch,1.0,3600,29442.22
2024-01-17,KR,61738,1984,454,1179,Global Launch,launch,1.0,2117,21275.59
2024-01-17,JP,42750,1073,308,696,Global Launch,launch,1.0,1497,16606.28
2024-01-17,GLOBAL_WEST,109291,3691,585,2133,Global Launch,launch,1.0,3858,33322.07
2024-01-18,KR,62826,1977,460,1293,Global Launch,launch,1.0,2208,23848.56
2024-01-18,JP,43250,958,313,822,Global Launch,launch,1.0,1481,18327.25
2024-01-18,GLOBAL_WEST,111842,3739,627,1969,Global Launch,launch,1.0,3907,37932.39
2024-01-19,KR,64266,2046,545,1174,Global Launch,launch,1.0,2242,27561.15
2024-01-19,JP,43618,984,331,814,Global Launch,launch,1.0,1519,19794.47
2024-01-19,GLOBAL_WEST,113955,3742,666,2270,Global Launch,launch,1.0,3938,38280.37
2024-01-20,KR,65597,2075,547,1151,Global Launch,launch,1.0,2323,26285.46
2024-01-20,JP,44137,1010,277,715,Global Launch,launch,1.0,1504,17387.47
2024-01-20,GLOBAL_WEST,116178,3734,723,2192,Global Launch,launch,1.0,3884,34271.92
2024-01-21,KR,66849,1922,523,1212,Global Launch,launch,1.0,2329,26038.74
2024-01-21,JP,44825,1028,354,736,Global Launch,launch,1.0,1539,15866.78
