date,region,product_id,purchasers,units_sold,gross_revenue_usd
2024-01-01,KR,P001,379,409,404.91
2024-01-01,KR,P002,208,229,1142.71
2024-01-01,KR,P003,154,173,2593.27
2024-01-01,KR,P005,198,222,1773.78
2024-01-01,KR,P006,138,147,3673.53
2024-01-01,KR,P007,120,134,1338.66
2024-01-01,KR,P009,0,0,0.0
2024-01-01,KR,P010,103,111,553.89
2024-01-01,KR,P011,55,56,1119.44
2024-01-01,KR,P012,35,38,3039.62
2024-01-01,JP,P001,283,313,309.87
2024-01-01,JP,P002,143,145,723.55
2024-01-01,JP,P003,140,150,2248.5
2024-01-01,JP,P005,177,190,1518.1
2024-01-01,JP,P006,82,90,2249.1
2024-01-01,JP,P007,150,151,1508.49
2024-01-01,JP,P009,0,0,0.0
2024-01-01,JP,P010,116,124,618.76
2024-01-01,JP,P011,51,57,1139.43
2024-01-01,JP,P012,19,19,1519.81
2024-01-01,GLOBAL_WEST,P001,522,538,532.62
2024-01-01,GLOBAL_WEST,P002,262,285,1422.15
2024-01-01,GLOBAL_WEST,P003,317,340,5096.6
2024-01-01,GLOBAL_WEST,P005,297,312,2492.88
2024-01-01,GLOBAL_WEST,P006,125,135,3373.65
2024-01-01,GLOBAL_WEST,P007,183,197,1968.03
2024-01-01,GLOBAL_WEST,P009,0,0,0.0
2024-01-01,GLOBAL_WEST,P010,112,122,608.78
2024-01-01,GLOBAL_WEST,P011,119,125,2498.75
2024-01-01,GLOBAL_WEST,P012,71,73,5839.27
2024-01-02,KR,P001,394,433,428.67
2024-01-02,KR,P002,196,205,1022.95
2024-01-02,KR,P003,210,233,3492.67
2024-01-02,KR,P005,232,247,1973.53
2024-01-02,KR,P006,120,131,3273.69
2024-01-02,KR,P007,152,154,1538.46
2024-01-02,KR,P009,0,0,0.0
2024-01-02,KR,P010,136,154,768.46
2024-01-02,KR,P011,83,91,1819.09
2024-01-02,KR,P012,9,10,799.9
2024-01-02,JP,P001,307,333,329.67
2024-01-02,JP,P002,139,152,758.48
2024-01-02,JP,P003,177,196,2938.04
2024-01-02,JP,P005,167,168,1342.32
2024-01-02,JP,P006,89,92,2299.08
2024-01-02,JP,P007,134,138,1378.62
2024-01-02,JP,P009,0,0,0.0
2024-01-02,JP,P010,110,116,578.84
2024-01-02,JP,P011,22,25,499.75
2024-01-02,JP,P012,18,20,1599.8
2024-01-02,GLOBAL_WEST,P001,560,609,602.91
2024-01-02,GLOBAL_WEST,P002,288,309,1541.91
2024-01-02,GLOBAL_WEST,P003,292,311,4661.89
2024-01-02,GLOBAL_WEST,P005,307,321,2564.79
2024-01-02,GLOBAL_WEST,P006,157,167,4173.33
2024-01-02,GLOBAL_WEST,P007,225,243,2427.57
2024-01-02,GLOBAL_WEST,P009,0,0,0.0
2024-01-02,GLOBAL_WEST,P010,210,227,1132.73
2024-01-02,GLOBAL_WEST,P011,119,125,2498.75
2024-01-02,GLOBAL_WEST,P012,59,66,5279.34
2024-01-03,KR,P001,412,438,433.62
2024-01-03,KR,P002,180,200,998.0
2024-01-03,KR,P003,182,206,3087.94
2024-01-03,KR,P005,205,217,1733.83
2024-01-03,KR,P006,93,99,2474.01
2024-01-03,KR,P007,112,126,1258.74
2024-01-03,KR,P009,0,0,0.0
2024-01-03,KR,P010,67,72,359.28
2024-01-03,KR,P011,49,49,979.51
2024-01-03,KR,P012,23,23,1839.77
2024-01-03,JP,P001,323,353,349.47
