cohort_month,region,cohort_size,d1_retained,d7_retained,d30_retained
2024-01-01,GLOBAL_WEST,92534,32460,16013,7998
2024-01-01,JP,26210,9667,4971,2285
2024-01-01,KR,47704,17084,8695,4027
2024-02-01,GLOBAL_WEST,35916,12905,6023,2657
2024-02-01,JP,12310,4607,2189,1139
2024-02-01,KR,16946,6002,3189,1423
2024-03-01,GLOBAL_WEST,39014,13460,6927,3044
2024-03-01,JP,13383,4955,2459,1217
2024-03-01,KR,16459,5829,2878,1377
2024-04-01,GLOBAL_WEST,30967,11070,5195,2524
2024-04-01,JP,12612,4901,2387,1181
2024-04-01,KR,17250,6280,3073,1571
2024-05-01,GLOBAL_WEST,34415,11818,5961,2720
2024-05-01,JP,12007,4425,2272,1061
2024-05-01,KR,16381,5678,3013,1336
2024-06-01,GLOBAL_WEST,36517,14757,7885,4019
2024-06-01,JP,12528,5388,3055,1563
2024-06-01,KR,15206,6502,3494,1808
2024-07-01,GLOBAL_WEST,33916,12209,5511,2725
2024-07-01,JP,12986,4670,2342,1134
2024-07-01,KR,17892,6308,3250,1582
2024-08-01,GLOBAL_WEST,32153,11304,5721,2783
2024-08-01,JP,10976,4215,2003,959
2024-08-01,KR,14512,5404,2663,1176
2024-09-01,GLOBAL_WEST,66433,27181,15136,7295
2024-09-01,JP,17526,7506,4198,2195
2024-09-01,KR,25764,10804,5451,2803
2024-10-01,GLOBAL_WEST,26988,9130,4605,2341
2024-10-01,JP,11101,4125,2080,965
2024-10-01,KR,15114,5456,2632,1191
2024-11-01,GLOBAL_WEST,27750,9993,4837,2145
2024-11-01,JP,9831,3573,1821,881
2024-11-01,KR,12565,4396,2312,987
2024-12-01,GLOBAL_WEST,32511,11423,5649,2567
2024-12-01,JP,11331,4279,2177,1025
2024-12-01,KR,13302,4724,2379,1155
2025-01-01,GLOBAL_WEST,59380,24284,13285,6682
2025-01-01,JP,17633,7484,4068,2146
2025-01-01,KR,30076,12364,6563,3459
2025-02-01,GLOBAL_WEST,23428,7959,4238,1973
2025-02-01,JP,8087,3025,1569,743
2025-02-01,KR,10625,3711,1924,836
2025-03-01,GLOBAL_WEST,21181,6524,2720,856
2025-03-01,JP,8680,2813,1272,532
2025-03-01,KR,8804,2714,1184,492
2025-04-01,GLOBAL_WEST,10377,3249,1418,490
2025-04-01,JP,6691,2300,921,393
2025-04-01,KR,6514,2112,889,375
2025-05-01,GLOBAL_WEST,24676,8666,4456,1897
2025-05-01,JP,8879,3336,1703,864
2025-05-01,KR,10859,3993,1915,1025
2025-06-01,GLOBAL_WEST,23477,8418,3725,1976
2025-06-01,JP,8624,3319,1677,794
2025-06-01,KR,9211,3505,1762,749
2025-07-01,GLOBAL_WEST,34557,13033,5354,1887
2025-07-01,JP,12269,4869,2076,901
2025-07-01,KR,17499,6814,3102,1127
2025-08-01,GLOBAL_WEST,20671,6154,2292,714
2025-08-01,JP,7522,2431,981,324
2025-08-01,KR,9282,3050,1030,438
2025-09-01,GLOBAL_WEST,22178,8214,3855,1655
2025-09-01,JP,8282,3194,1498,673
2025-09-01,KR,8781,3189,1601,659
2025-10-01,GLOBAL_WEST,18689,6798,3323,1219
2025-10-01,JP,8001,3076,1525,641
2025-10-01,KR,9766,3685,1707,728
2025-11-01,GLOBAL_WEST,19171,6867,3227,1371
2025-11-01,JP,7126,2728,1316,597
2025-11-01,KR,8088,3093,1445,605
