event_id,user_id,occurred_at_utc,received_at_utc
e000000,u0000,2025-01-01T09:00:00,2025-01-01T09:00:00
e000001,u0000,2025-01-02T20:00:00,2025-01-02T20:00:00
e000002,u0000,2025-01-03T07:00:00,2025-01-03T07:00:00
e000003,u0000,2025-01-05T21:00:00,2025-01-05T21:00:00
e000004,u0000,2025-01-06T13:00:00,2025-01-06T13:00:00
e000005,u0000,2025-01-07T22:00:00,2025-01-07T22:00:00
e000006,u0000,2025-01-11T21:00:00,2025-01-11T21:00:00
e000007,u0000,2025-01-15T00:00:00,2025-01-15T00:00:00
e000008,u0000,2025-01-20T07:00:00,2025-01-20T07:00:00
e000009,u0000,2025-01-21T07:00:00,2025-01-21T07:00:00
e000010,u0000,2025-01-23T19:00:00,2025-01-23T19:00:00
e000011,u0000,2025-01-28T01:00:00,2025-01-28T01:00:00
e000012,u0000,2025-01-30T09:00:00,2025-01-30T09:00:00
e000013,u0000,2025-01-30T09:00:00,2025-01-30T09:00:00
e000014,u0000,2025-01-31T17:00:00,2025-01-31T17:00:00
e000015,u0000,2025-01-31T17:00:00,2025-01-31T17:00:00
e000016,u0000,2025-02-22T16:00:00,2025-02-22T16:00:00
e000017,u0000,2025-03-10T04:00:00,2025-03-10T04:00:00
e000018,u0001,2025-01-02T13:00:00,2025-01-02T13:00:00
e000019,u0001,2025-01-03T23:00:00,2025-01-03T23:00:00
e000020,u0001,2025-01-04T00:00:00,2025-01-04T00:00:00
e000021,u0001,2025-01-10T09:00:00,2025-01-10T09:00:00
e000022,u0001,2025-01-10T09:00:00,2025-01-10T09:00:00
e000023,u0001,2025-01-22T15:00:00,2025-01-22T15:00:00
e000024,u0001,2025-02-02T11:00:00,2025-02-02T11:00:00
e000025,u0001,2025-02-14T08:00:00,2025-02-14T08:00:00
e000026,u0001,2025-02-14T08:00:00,2025-02-14T08:00:00
e000027,u0001,2025-02-16T22:00:00,2025-02-16T22:00:00
e000028,u0001,2025-02-21T11:00:00,2025-02-21T11:00:00
e000029,u0001,2025-02-21T11:00:00,2025-02-21T11:00:00
e000030,u0001,2025-03-07T17:00:00,2025-03-07T17:00:00
e000030,u0001,2025-03-07T17:00:00,2025-03-07T19:00:00
e000032,u0001,2025-03-07T17:00:00,2025-03-07T17:00:00
e000033,u0001,2025-03-08T16:00:00,2025-03-08T16:00:00
e000034,u0001,2025-03-19T01:00:00,2025-03-19T01:00:00
e000035,u0001,2025-03-19T01:00:00,2025-03-19T01:00:00
e000036,u0001,2025-03-21T23:00:00,2025-03-21T23:00:00
e000037,u0001,2025-03-29T13:00:00,2025-03-29T13:00:00
e000038,u0002,2025-01-03T22:00:00,2025-01-03T22:00:00
e000039,u0002,2025-01-04T15:00:00,2025-01-04T15:00:00
e000040,u0002,2025-01-05T03:00:00,2025-01-05T03:00:00
e000041,u0002,2025-01-08T05:00:00,2025-01-08T05:00:00
e000042,u0002,2025-01-11T07:00:00,2025-01-11T07:00:00
e000043,u0002,2025-01-19T15:00:00,2025-01-19T15:00:00
e000044,u0002,2025-01-22T08:00:00,2025-01-22T08:00:00
e000045,u0002,2025-01-23T09:00:00,2025-01-23T09:00:00
e000046,u0002,2025-01-31T02:00:00,2025-01-31T02:00:00
e000047,u0002,2025-01-31T02:00:00,2025-01-31T02:00:00
e000048,u0002,2025-02-20T22:00:00,2025-02-20T22:00:00
e000049,u0002,2025-02-26T09:00:00,2025-02-26T09:00:00
e000050,u0002,2025-02-26T09:00:00,2025-02-26T09:00:00
e000051,u0002,2025-03-07T17:00:00,2025-03-07T17:00:00
e000052,u0002,2025-03-14T02:00:00,2025-03-14T02:00:00
e000052,u0002,2025-03-14T02:00:00,2025-03-14T04:00:00
e000054,u0002,2025-03-25T16:00:00,2025-03-25T16:00:00
e000055,u0002,2025-03-26T16:00:00,2025-03-26T16:00:00
e000056,u0002,2025-03-28T12:00:00,2025-03-28T12:00:00
e000057,u0003,2025-01-04T03:00:00,2025-01-04T03:00:00
e000058,u0003,2025-01-12T00:00:00,2025-01-12T00:00:00
e000059,u0003,2025-01-16T09:00:00,2025-01-16T09:00:00
e000060,u0003,2025-01-16T09:00:00,2025-01-16T09:00:00
