user_id,registered_at_utc,region
u0000,2025-01-01T00:00:00,KR
u0001,2025-01-02T00:00:00,JP
u0002,2025-01-03T00:00:00,GLOBAL_WEST
u0003,2025-01-04T00:00:00,KR
u0004,2025-01-05T00:00:00,JP
u0005,2025-01-06T00:00:00,GLOBAL_WEST
u0006,2025-01-07T00:00:00,KR
u0007,2025-01-08T00:00:00,JP
u0008,2025-01-09T00:00:00,GLOBAL_WEST
u0009,2025-01-10T00:00:00,KR
u0010,2025-01-11T00:00:00,JP
u0011,2025-01-12T00:00:00,GLOBAL_WEST
u0012,2025-01-13T00:00:00,KR
u0013,2025-01-14T00:00:00,JP
u0014,2025-01-15T00:00:00,GLOBAL_WEST
u0015,2025-01-16T00:00:00,KR
u0016,2025-01-17T00:00:00,JP
u0017,2025-01-18T00:00:00,GLOBAL_WEST
u0018,2025-01-19T00:00:00,KR
u0019,2025-01-20T00:00:00,JP
u0020,2025-01-21T00:00:00,GLOBAL_WEST
u0021,2025-01-22T00:00:00,KR
u0022,2025-01-23T00:00:00,JP
u0023,2025-01-24T00:00:00,GLOBAL_WEST
u0024,2025-01-25T00:00:00,KR
u0025,2025-01-26T00:00:00,JP
u0026,2025-01-27T00:00:00,GLOBAL_WEST
u0027,2025-01-28T00:00:00,KR
u0028,2025-01-29T00:00:00,JP
u0029,2025-01-30T00:00:00,GLOBAL_WEST
u0030,2025-01-31T00:00:00,KR
u0031,2025-02-01T00:00:00,JP
u0032,2025-02-02T00:00:00,GLOBAL_WEST
u0033,2025-02-03T00:00:00,KR
u0034,2025-02-04T00:00:00,JP
u0035,2025-02-05T00:00:00,GLOBAL_WEST
u0036,2025-02-06T00:00:00,KR
u0037,2025-02-07T00:00:00,JP
u0038,2025-02-08T00:00:00,GLOBAL_WEST
u0039,2025-02-09T00:00:00,KR
u0040,2025-02-10T00:00:00,JP
u0041,2025-02-11T00:00:00,GLOBAL_WEST
u0042,2025-02-12T00:00:00,KR
u0043,2025-02-13T00:00:00,JP
u0044,2025-02-14T00:00:00,GLOBAL_WEST
u0045,2025-02-15T00:00:00,KR
u0046,2025-02-16T00:00:00,JP
u0047,2025-02-17T00:00:00,GLOBAL_WEST
u0048,2025-02-18T00:00:00,KR
u0049,2025-02-19T00:00:00,JP
u0050,2025-02-20T00:00:00,GLOBAL_WEST
u0051,2025-02-21T00:00:00,KR
u0052,2025-02-22T00:00:00,JP
u0053,2025-02-23T00:00:00,GLOBAL_WEST
u0054,2025-02-24T00:00:00,KR
u0055,2025-02-25T00:00:00,JP
u0056,2025-02-26T00:00:00,GLOBAL_WEST
u0057,2025-02-27T00:00:00,KR
u0058,2025-02-28T00:00:00,JP
u0059,2025-03-01T00:00:00,GLOBAL_WEST
u0060,2025-03-02T00:00:00,KR
u0061,2025-03-03T00:00:00,JP
u0062,2025-03-04T00:00:00,GLOBAL_WEST
u0063,2025-03-05T00:00:00,KR
u0064,2025-03-06T00:00:00,JP
u0065,2025-03-07T00:00:00,GLOBAL_WEST
u0066,2025-03-08T00:00:00,KR
u0067,2025-03-09T00:00:00,JP
u0068,2025-03-10T00:00:00,GLOBAL_WEST
u0069,2025-03-11T00:00:00,KR
u0070,2025-03-12T00:00:00,JP
u0071,2025-03-13T00:00:00,GLOBAL_WEST
u0072,2025-03-14T00:00:00,KR
u0073,2025-03-15T00:00:00,JP
u0074,2025-03-16T00:00:00,GLOBAL_WEST
u0075,2025-03-17T00:00:00,KR
u0076,2025-03-18T00:00:00,JP
u0077,2025-03-19T00:00:00,GLOBAL_WEST
u0078,2025-03-20T00:00:00,KR
u0079,2025-03-21T00:00:00,JP
u0080,2025-03-22T00:00:00,GLOBAL_WEST
u0081,2025-03-23T00:00:00,KR
u0082,2025-03-24T00:00:00,JP
u0083,2025-03-25T00:00:00,GLOBAL_WEST
u0084,2025-03-26T00:00:00,KR
u0085,2025-03-27T00:00:00,JP
u0086,2025-03-28T00:00:00,GLOBAL_WEST
u0087,2025-03-29T00:00:00,KR
u0088,2025-03-30T00:00:00,JP
u0089,2025-03-31T00:00:00,GLOBAL_WEST
u0090,2025-01-01T00:00:00,KR
u0091,2025-01-02T00:00:00,JP
u0092,2025-01-03T00:00:00,GLOBAL_WEST
u0093,2025-01-04T00:00:00,KR
u0094,2025-01-05T00:00:00,JP
u0095,2025-01-06T00:00:00,GLOBAL_WEST
u0096,2025-01-07T00:00:00,KR
u0097,2025-01-08T00:00:00,JP
u0098,2025-01-09T00:00:00,GLOBAL_WEST
u0099,2025-01-10T00:00:00,KR
u0100,2025-01-11T00:00:00,JP
u0101,2025-01-12T00:00:00,GLOBAL_WEST
u0102,2025-01-13T00:00:00,KR
u0103,2025-01-14T00:00:00,JP
u0104,2025-01-15T00:00:00,GLOBAL_WEST
u0105,2025-01-16T00:00:00,KR
u0106,2025-01-17T00:00:00,JP
u0107,2025-01-18T00:00:00,GLOBAL_WEST
u0108,2025-01-19T00:00:00,KR
u0109,2025-01-20T00:00:00,JP
u0110,2025-01-21T00:00:00,GLOBAL_WEST
u0111,2025-01-22T00:00:00,KR
u0112,2025-01-23T00:00:00,JP
u0113,2025-01-24T00:00:00,GLOBAL_WEST
u0114,2025-01-25T00:00:00,KR
u0115,2025-01-26T00:00:00,JP
u0116,2025-01-27T00:00:00,GLOBAL_WEST
u0117,2025-01-28T00:00:00,KR
u0118,2025-01-29T00:00:00,JP
u0119,2025-01-30T00:00:00,GLOBAL_WEST
u0120,2025-01-31T00:00:00,KR
u0121,2025-02-01T00:00:00,JP
u0122,2025-02-02T00:00:00,GLOBAL_WEST
u0123,2025-02-03T00:00:00,KR
u0124,2025-02-04T00:00:00,JP
u0125,2025-02-05T00:00:00,GLOBAL_WEST
u0126,2025-02-06T00:00:00,KR
u0127,2025-02-07T00:00:00,JP
u0128,2025-02-08T00:00:00,GLOBAL_WEST
u0129,2025-02-09T00:00:00,KR
u0130,2025-02-10T00:00:00,JP
u0131,2025-02-11T00:00:00,GLOBAL_WEST
u0132,2025-02-12T00:00:00,KR
u0133,2025-02-13T00:00:00,JP
u0134,2025-02-14T00:00:00,GLOBAL_WEST
u0135,2025-02-15T00:00:00,KR
u0136,2025-02-16T00:00:00,JP
u0137,2025-02-17T00:00:00,GLOBAL_WEST
u0138,2025-02-18T00:00:00,KR
u0139,2025-02-19T00:00:00,JP
u0140,2025-02-20T00:00:00,GLOBAL_WEST
u0141,2025-02-21T00:00:00,KR
u0142,2025-02-22T00:00:00,JP
u0143,2025-02-23T00:00:00,GLOBAL_WEST
u0144,2025-02-24T00:00:00,KR
u0145,2025-02-25T00:00:00,JP
u0146,2025-02-26T00:00:00,GLOBAL_WEST
u0147,2025-02-27T00:00:00,KR
u0148,2025-02-28T00:00:00,JP
u0149,2025-03-01T00:00:00,GLOBAL_WEST
u0150,2025-03-02T00:00:00,KR
u0151,2025-03-03T00:00:00,JP
u0152,2025-03-04T00:00:00,GLOBAL_WEST
u0153,2025-03-05T00:00:00,KR
u0154,2025-03-06T00:00:00,JP
u0155,2025-03-07T00:00:00,GLOBAL_WEST
u0156,2025-03-08T00:00:00,KR
u0157,2025-03-09T00:00:00,JP
u0158,2025-03-10T00:00:00,GLOBAL_WEST
